reconciliation_id,classification_id,source_path,candidate_domain,candidate_canonical_id,candidate_target,canonical_authority,decision,conflict_status,precondition,next_step
"GOV-REC-017","MC-REC-017","01-master-index/04-reports/README.md","REGISTRY","GOV-IDX-030-001","01_master-index/reports/","GOV-IDX-030-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar IDs e distinguir índices observados de autoridade aprovada.","Reconciliar no master index, sem criar segundo canonical_home."
"GOV-REC-018","MC-REC-018","01-master-index/CENTRAL_CONTROL.csv","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","D06-DOC-RMI-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Comparar IDs, hashes, paths e RMOC antes de qualquer merge.","Gerar matriz de equivalência RMI/RMOC."
"GOV-REC-019","MC-REC-019","60-dados/40-canonical/REGISTRO_DOCUMENTAL_MECE_V1.csv","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","D06-DOC-RMI-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Comparar IDs, hashes, paths e RMOC antes de qualquer merge.","Gerar matriz de equivalência RMI/RMOC."
"GOV-REC-020","MC-REC-020","60-dados/40-canonical/STRATEGIC_INSIGHTS_V1.csv","MULTI_DOMAIN","GAP","04_evidence/strategic-insights/","GAP","ROUTE_BY_RECORD","MULTI_DOMAIN","Classificar por linha/registro, não por arquivo.","Criar subfila com critérios por domínio."
"GOV-REC-021","MC-REC-021","60-dados/60-dados.md","D05","D05-DOC-EPGD-001","02_areas/D05__dados/00_documentos/","D05-DOC-EPGD-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Comparar schema, IDs e escopo com documento D05 existente.","Abrir PR de reconciliação D05 sem mesclar conteúdo automaticamente."
"GOV-REC-022","MC-REC-022","60-dados/60-exports/ESTADO_CONSOLIDADO_ECOSSISTEMA_EXECUTAR.yaml","MULTI_DOMAIN","GAP","04_evidence/consolidated-state/","GAP","ROUTE_BY_RECORD","MULTI_DOMAIN","Classificar por linha/registro, não por arquivo.","Criar subfila com critérios por domínio."
"GOV-REC-023","MC-REC-023","60-dados/60-exports/README.md","D05","D05-DOC-EPGD-001","02_areas/D05__dados/00_documentos/","D05-DOC-EPGD-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Comparar schema, IDs e escopo com documento D05 existente.","Abrir PR de reconciliação D05 sem mesclar conteúdo automaticamente."
"GOV-REC-024","MC-REC-024","60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.json","MULTI_DOMAIN","GAP","04_evidence/workbooks/","GAP","ROUTE_BY_RECORD","MULTI_DOMAIN","Classificar por linha/registro, não por arquivo.","Criar subfila com critérios por domínio."
"GOV-REC-025","MC-REC-025","60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.yaml","MULTI_DOMAIN","GAP","04_evidence/workbooks/","GAP","ROUTE_BY_RECORD","MULTI_DOMAIN","Classificar por linha/registro, não por arquivo.","Criar subfila com critérios por domínio."
"GOV-REC-026","MC-REC-026","60-dados/60-exports/WORKBOOK_FORMULARIO.csv","MULTI_DOMAIN","GAP","04_evidence/workbooks/","GAP","ROUTE_BY_RECORD","MULTI_DOMAIN","Classificar por linha/registro, não por arquivo.","Criar subfila com critérios por domínio."
"GOV-REC-027","MC-REC-027","60-dados/60-exports/WORKBOOK_PMBOK8_ECOSSISTEMA_EXECUTAR.xlsx","MULTI_DOMAIN","GAP","04_evidence/workbooks/","GAP","ROUTE_BY_RECORD","BINARY_REVIEW_REQUIRED","Classificar por linha/registro, não por arquivo.","Criar subfila com critérios por domínio."
"GOV-REC-028","MC-REC-028","60-dados/90-evidence/OUT-54_EVIDENCE_REGISTER.csv","D09","D09-DOC-DEB-001","04_evidence/","D09-DOC-DEB-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar força, confiança, fonte e status epistêmico.","Mapear evidências ao dossiê sem alterar seu estado."
"GOV-REC-029","MC-REC-029","60-dados/90-evidence/OUT-55_HYPOTHESIS_REGISTER.csv","D09","D09-DOC-DEB-001","04_evidence/","D09-DOC-DEB-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar força, confiança, fonte e status epistêmico.","Mapear evidências ao dossiê sem alterar seu estado."
"GOV-REC-030","MC-REC-030","60-dados/90-evidence/OUT-56_DECISION_LOG.csv","REGISTRY","GOV-IDX-030-001","05_decisions/","GOV-IDX-030-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar IDs e distinguir índices observados de autoridade aprovada.","Reconciliar no master index, sem criar segundo canonical_home."
"GOV-REC-031","MC-REC-031","60-dados/90-evidence/OUT-57_RISK_REGISTER.csv","D02","D02-DOC-MRC-001","06_risks/","D02-DOC-MRC-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Comparar riscos e controles; não duplicar risco como novo.","Reconciliar com matriz de riscos."
"GOV-REC-032","MC-REC-032","60-dados/90-evidence/OUT-58_GAP_REGISTER.csv","REGISTRY","GOV-IDX-030-001","01_master-index/gaps/","GOV-IDX-030-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar IDs e distinguir índices observados de autoridade aprovada.","Reconciliar no master index, sem criar segundo canonical_home."
"GOV-REC-033","MC-REC-033","60-dados/90-evidence/OUT-59_SOURCE_REGISTER.csv","D09","D09-DOC-DEB-001","04_evidence/","D09-DOC-DEB-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar força, confiança, fonte e status epistêmico.","Mapear evidências ao dossiê sem alterar seu estado."
"GOV-REC-034","MC-REC-034","70-operacao-governanca/01-planos-acao/PLANO_LANCAMENTO_ECOSSISTEMA.md","D13","D13-DOC-GTM-001","02_areas/D13__mercado-e-geracao-de-demanda/00_documentos/","D13-DOC-GTM-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Validar data e status do plano de lançamento.","Reconciliar com plano GTM."
"GOV-REC-035","MC-REC-035","70-operacao-governanca/02-workflows/PMBOK8_FUNDAMENTOS_ORDEM_MENTAL.md","MAESTRO","GAP","MAESTRO/40-workflows/","MAESTRO","KEEP_IN_MAESTRO","MIXED_AGENT_INSTRUCTION","Separar instrução de agente de referência de governança.","Reconciliar com Workflow Registry do Maestro."
"GOV-REC-036","MC-REC-036","70-operacao-governanca/70-operacao-governanca.md","D08","D08-DOC-MOP-001","02_areas/D08__operacoes/00_documentos/","D08-DOC-MOP-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Separar mapa operacional de instruções executáveis.","Reconciliar com Manual de Operações."
