"cena_id","filme","bloco","tempo","mensagem","pilar","etapa_funil","ui_mostrada","origem_ui","status_ui","componente","classe_claim","caveat"
"B-B5","Filme B — Manifesto 60s","5","00:30-00:38","Menos trabalho antes do trabalho","Menos fricção","Meio","Tela de execucao","Conceito de produto","CONCEITO","execution-screen, timer","C0","C1 na preparacao da proxima acao"
"B-B6","Filme B — Manifesto 60s","6","00:38-00:46","O trabalho nao acontece dentro do aplicativo","Menos fricção","Meio","Interface apenas nas bordas","Conceito de campanha","N/A","montage","C0","Requer direitos de imagem das cenas reais"
"B-B7","Filme B — Manifesto 60s","7","00:46-00:53","Metodo publico, limites declarados","Transparência","Fundo","Metodologia como documento legivel","Conceito de campanha","CONCEITO","document-frame, super","C2","Formulacao obrigatoria; nunca cientificamente comprovado"
"B-B8","Filme B — Manifesto 60s","8","00:53-01:00","Organizar e funcao do sistema. Executar e funcao sua","Menos fricção","Fundo","Nenhuma","Packshot de campanha","N/A","packshot, end-card","C0",""
"C-B1","Filme C — Demo 45s","1","00:00-00:06","Comece pelo objetivo, nao pela configuracao","Menos fricção","Meio","Entrada de objetivo em linguagem natural","Conceito de produto","CONCEITO","objective-input","C1",""
"C-B2","Filme C — Demo 45s","2","00:06-00:14","O sistema propoe a estrutura","Método","Meio","Lista de entregaveis derivada do objetivo","Conceito de produto","CONCEITO","deliverable-list","C1","Proposta editavel; nao afirmar acerto automatico"
"C-B3","Filme C — Demo 45s","3","00:14-00:22","Projeto, Entregavel, Workflow, Tarefa, Acao","Clareza","Meio","Decomposicao com dependencias e bloqueios","Conceito de produto","CONCEITO","hierarchy-cascade, dependency-link","C1",""
"C-B4","Filme C — Demo 45s","4","00:22-00:30","Uma acao, o contexto que ela exige","Clareza","Fundo","Tela de execucao com WIP unitario","Conceito de produto","CONCEITO","execution-screen, timer, status-badge","C1","C3 para WIP=1; conclusao nunca por cor isolada"
"C-B5","Filme C — Demo 45s","5","00:30-00:37","Volte sem reconstruir","Contexto","Fundo","Retomada com contexto preservado","Conceito de produto","CONCEITO","resume-screen, context-strip","C1",""
"C-B6","Filme C — Demo 45s","6","00:37-00:41","Evidencia, pratica e hipotese sao coisas diferentes","Transparência","Fundo","Painel de niveis de evidencia","Conceito de produto","CONCEITO","evidence-panel","C2","Bloco que sustenta o tom dos demais claims"
"C-B7","Filme C — Demo 45s","7","00:41-00:45","Pare de organizar. Comece a executar","Menos fricção","Fundo","Nenhuma","Packshot de campanha","N/A","packshot, end-card","C0",""
"D-06","Cutdown 6s","unico","00:00-00:06","O aplicativo desenhado para voce sair dele","Menos fricção","Topo","Tensao visual do split, sem UI legivel","Conceito de campanha","N/A","split-view, packshot","C0","Sem UI legivel: evita leitura de tela em 6s"
"D-15S","Cutdown 15s Split","unico","00:00-00:15","Configurar versus executar","Menos fricção","Topo","Reuso de A-B1, A-B2 e A-B6","Conceito de campanha","CONCEITO","split-view, super, packshot","C0",""
"D-15D","Cutdown 15s Demo","unico","00:00-00:15","Objetivo, estrutura, proxima acao","Clareza","Meio","Reuso de C-B1, C-B2 e C-B4","Conceito de produto","CONCEITO","objective-input, deliverable-list, execution-screen","C1","Herda o caveat de C-B2 e C-B4"
"L-TIMER","Loop 3-8s","unico","00:00-00:08","Tempo decorrido como metafora","Menos fricção","Topo","Timer isolado","Conceito de campanha","N/A","timer","C0","Nunca apresentar o numero como medicao de produto"
"L-PROX","Loop 3-8s","unico","00:00-00:08","Proxima acao","Clareza","Topo","Cartao de proxima acao","Conceito de produto","CONCEITO","action-card","C1",""
"L-RETOM","Loop 3-8s","unico","00:00-00:08","Retomada","Contexto","Topo","Retomada com contexto","Conceito de produto","CONCEITO","resume-screen","C1",""
"L-DECOMP","Loop 3-8s","unico","00:00-00:08","Decomposicao","Clareza","Topo","Cascata da hierarquia","Conceito de produto","CONCEITO","hierarchy-cascade","C1",""
