master_id,area_code,area,subarea,artifact_type,artifact_group,artifact_order,origin,title,content,evidence_level,evidence_basis,source_ids,source_urls,public_claim,caveat,status,audience_priority,funnel_stage,campaign_pillar,claim_class,claim_risk,go_live_rule,recommended_usage,naming_normalized
MI-011,METHOD,Metodologia,Transparência,IDEIA,Fundamentos,4,USUÁRIO,Metodologia pública,"A metodologia deve ser pública, visível e compreensível como parte do produto, não apenas documentação interna.",GOVERNANÇA,,,,"Recomendado para diferenciação, auditabilidade e confiança.",Separar claramente evidência científica de prática metodológica e hipótese de produto.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P5 — Transparência e confiança,GOV — Governança/fonte,BAIXO — uso interno/metodológico,SUPORTE — não é copy principal,Brand/produto/marketing,"A metodologia deve ser pública, visível e compreensível como parte do produto, não apenas documentação interna."
MI-012,METHOD,Metodologia,Rastreabilidade,IDEIA,Fundamentos,5,USUÁRIO,Funcionalidade com razão explícita,"Cada funcionalidade deve explicar por que existe, qual carga procura reduzir e qual princípio metodológico aplica.",PRÁTICA CONSOLIDADA,"Coerente com design centrado no humano, rastreabilidade de requisitos e transparência metodológica.",S01|S02,https://www.iso.org/standard/77520.html | https://www.iso.org/standard/75258.html,Pode ser política pública de produto.,Evitar linguagem clínica se não houver validação clínica da funcionalidade.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P5 — Transparência e confiança,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Brand/produto/marketing,"Cada funcionalidade deve explicar por que existe, qual carga procura reduzir e qual princípio metodológico aplica."
MI-013,PRINC,Princípios de Produto,Personalização,IDEIA,Princípios,1,USUÁRIO,Mínimo de personalização,O sistema nasce pronto e reduz a necessidade de configuração estrutural pelo usuário.,EVIDÊNCIA INDIRETA,ISO 9241-110 favorece adequação à tarefa e redução de interações desnecessárias; choice overload pode ocorrer quando a decisão é complexa ou difícil.,S02|S15,https://www.iso.org/standard/75258.html | https://www.sciencedirect.com/science/article/pii/S1057740814000916,Pode comunicar como decisão deliberada para reduzir decisões de configuração.,Choice overload é dependente de contexto; não dizer que personalização é sempre prejudicial.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P2 — Próxima ação clara,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Brand/produto/marketing,O sistema nasce pronto e reduz a necessidade de configuração estrutural pelo usuário.
MI-014,PRINC,Princípios de Produto,Metodologia,IDEIA,Princípios,2,USUÁRIO,Gestão de projetos e processos embutida,"A organização do trabalho incorpora práticas estruturadas de gestão de projetos e processos, em vez de deixar toda a modelagem a cargo do usuário.",PRÁTICA CONSOLIDADA,"PMBOK e práticas PMI sustentam tailoring, decomposição, entregáveis, escopo e estruturação do trabalho.",S03|S04|S05|S18,https://www.pmi.org/es-es/brasil/sitecore/content/home/standards/pmbok | https://www.pmi.org/-/media/pmi/documents/public/pdf/pmbok-standards/pmi-tailoring.pdf?rev=10d5c35b229d458580524efc55efc056 | https://www.pmi.org/learning/library/practice-standard-work-breakdown-structures-8063 | https://www.pmi.org/learning/library/tailoring-benefits-project-management-methodology-11133,Pode comunicar como aplicação metodológica.,Preferir “práticas alinhadas ao PMI/PMBOK” salvo certificação ou aderência formal documentada.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,MOFU — Consideração,P4 — IA com método,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Brand/produto/marketing,"A organização do trabalho incorpora práticas estruturadas de gestão de projetos e processos, em vez de deixar toda a modelagem a cargo do usuário."
MI-015,PRINC,Princípios de Produto,Integração,IDEIA,Princípios,3,USUÁRIO,Integração analógico-digital,A execução pode atravessar recursos digitais e analógicos; o app não pressupõe que todo trabalho aconteça dentro da tela.,EVIDÊNCIA INDIRETA,Cognitive offloading mostra benefício de recursos externos para intenções e memória prospectiva.,S06|S07|S16|S20,https://pmc.ncbi.nlm.nih.gov/articles/PMC9971128/ | https://pubmed.ncbi.nlm.nih.gov/36201804/ | https://pubmed.ncbi.nlm.nih.gov/31448938/ | https://pubmed.ncbi.nlm.nih.gov/42352705/,Pode comunicar como princípio de cognição distribuída/offloading.,A literatura não prova que uma integração analógico-digital específica seja superior em todos os casos.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P2 — Próxima ação clara,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Brand/produto/marketing,A execução pode atravessar recursos digitais e analógicos; o app não pressupõe que todo trabalho aconteça dentro da tela.
MI-016,PRINC,Princípios de Produto,Carga cognitiva,IDEIA,Princípios,4,USUÁRIO,Redução de carga cognitiva,"Arquitetura, quantidade de informação e interação são desenhadas para reduzir esforço cognitivo que não contribui diretamente para a execução.",EVIDÊNCIA INDIRETA,Cognitive Load Theory sustenta limitação de memória de trabalho e redução de carga extrínseca; aplicação em software é uma extrapolação de design.,S14|S02,https://pmc.ncbi.nlm.nih.gov/articles/PMC6099112/ | https://www.iso.org/standard/75258.html,Pode comunicar como “orientado por princípios de redução de carga cognitiva”.,Não afirmar redução clínica de carga cognitiva sem testes do produto.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P2 — Próxima ação clara,C2 — Princípio orientado por evidência,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Brand/produto/marketing,"Arquitetura, quantidade de informação e interação são desenhadas para reduzir esforço cognitivo que não contribui diretamente para a execução."
MI-017,PRINC,Princípios de Produto,Semântica,IDEIA,Princípios,5,USUÁRIO,Linguagem voltada à ação,Rótulos de ações e tarefas priorizam verbos concretos e instruções que indiquem o próximo comportamento executável.,EVIDÊNCIA INDIRETA,Implementation intentions mostram benefício de especificar comportamento e condições de execução; PMI diferencia entregáveis de atividades.,S12|S05,https://www.sciencedirect.com/science/article/abs/pii/S0065260106380021 | https://www.pmi.org/learning/library/practice-standard-work-breakdown-structures-8063,Pode comunicar como semântica orientada à ação.,Evidência não demonstra que “usar verbo” isoladamente melhore execução.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P4 — IA com método,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Brand/produto/marketing,Rótulos de ações e tarefas priorizam verbos concretos e instruções que indiquem o próximo comportamento executável.
MI-018,PRINC,Princípios de Produto,Troca de contexto,IDEIA,Princípios,6,USUÁRIO,Prevenção de cognitive switching,"O produto procura reduzir trocas desnecessárias entre tarefas, contextos, telas e decisões.",EVIDÊNCIA DIRETA,Task switching produz switch costs: respostas tipicamente mais lentas e mais propensas a erro imediatamente após a troca.,S13,https://pubmed.ncbi.nlm.nih.gov/12639695/,Pode comunicar “desenhado para reduzir trocas desnecessárias de contexto”.,Não prometer eliminar switch cost nem atribuir todo problema de produtividade à troca de contexto.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P3 — Contexto preservado,C2 — Princípio orientado por evidência,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Brand/produto/marketing,"O produto procura reduzir trocas desnecessárias entre tarefas, contextos, telas e decisões."
MI-019,PRINC,Princípios de Produto,Iniciação,IDEIA,Princípios,7,USUÁRIO,Redução da barreira de iniciação,O sistema transforma projetos em próximas ações claras para diminuir o trabalho prévio necessário antes de começar.,EVIDÊNCIA INDIRETA,Implementation intentions favorecem iniciação e alcance de metas; decomposição facilita definição do trabalho.,S12|S05,https://www.sciencedirect.com/science/article/abs/pii/S0065260106380021 | https://www.pmi.org/learning/library/practice-standard-work-breakdown-structures-8063,Pode comunicar “reduz etapas antes de iniciar”.,“Paralisia de iniciação” não deve ser apresentada como diagnóstico tratado pelo app.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,MOFU — Consideração,P2 — Próxima ação clara,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Brand/produto/marketing,O sistema transforma projetos em próximas ações claras para diminuir o trabalho prévio necessário antes de começar.
MI-020,PRINC,Princípios de Produto,Workflow,IDEIA,Princípios,8,USUÁRIO,Agrupamento em workflows,"Tarefas são agrupadas em workflows coerentes para preservar sequência, contexto e relação com entregáveis.",PRÁTICA CONSOLIDADA,Estruturação hierárquica e decomposição do trabalho são práticas consolidadas em gestão de projetos.,S05,https://www.pmi.org/learning/library/practice-standard-work-breakdown-structures-8063,Pode comunicar como estrutura metodológica.,Workflow é implementação própria; eficácia específica precisa ser validada.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,MOFU — Consideração,P4 — IA com método,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Brand/produto/marketing,"Tarefas são agrupadas em workflows coerentes para preservar sequência, contexto e relação com entregáveis."
MI-021,PROMISE,Promessa,Premissa,IDEIA,Promessa Cognitiva,1,USUÁRIO,Retirar trabalho cognitivo anterior à execução,"Se o usuário não precisar priorizar, organizar, estruturar e recapitular constantemente, parte do esforço mental pode ser redirecionada à execução.",EVIDÊNCIA INDIRETA,Cognitive offloading demonstra que ferramentas externas podem assumir demandas de memória prospectiva; memória de trabalho é limitada.,S06|S07|S14|S16,https://pmc.ncbi.nlm.nih.gov/articles/PMC9971128/ | https://pubmed.ncbi.nlm.nih.gov/36201804/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC6099112/ | https://pubmed.ncbi.nlm.nih.gov/31448938/,Pode comunicar como hipótese de design orientada por evidências.,Não afirmar que há aumento comprovado de “energia cognitiva” sem estudo do produto.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P4 — IA com método,C2 — Princípio orientado por evidência,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Brand/produto/marketing,"Se o usuário não precisar priorizar, organizar, estruturar e recapitular constantemente, parte do esforço mental pode ser redirecionada à execução."
MI-022,PROMISE,Promessa,Formulação,IDEIA,Promessa Cognitiva,2,SÍNTESE,Menos energia administrando; mais energia executando,A promessa é reduzir o esforço gasto administrando o trabalho para preservar atenção e recursos para fazer o trabalho.,POSICIONAMENTO,,,,Excelente como formulação de marca.,Usar “procuramos reduzir” em materiais científicos; versão absoluta pode ficar em campanha institucional.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P4 — IA com método,C0 — Posicionamento/linguagem,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Brand/produto/marketing,A promessa é reduzir o esforço gasto administrando o trabalho para preservar atenção e recursos para fazer o trabalho.
MI-023,PROMISE,Promessa,Offloading,IDEIA,Promessa Cognitiva,3,USUÁRIO,Recapitulação externa,"O sistema mantém contexto, prioridades e próximos passos para que o usuário não precise reconstruí-los mentalmente a cada retorno.",EVIDÊNCIA DIRETA,"Cognitive offloading e reminders podem melhorar memória prospectiva, especialmente sob maior carga.",S06|S07|S16,https://pmc.ncbi.nlm.nih.gov/articles/PMC9971128/ | https://pubmed.ncbi.nlm.nih.gov/36201804/ | https://pubmed.ncbi.nlm.nih.gov/31448938/,Pode comunicar como externalização de intenções e contexto.,"Offloading também pode gerar dependência do suporte externo; preservar exportação, transparência e recuperação.",ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P3 — Contexto preservado,C2 — Princípio orientado por evidência,BAIXO,PERMITIDO,Brand/produto/marketing,"O sistema mantém contexto, prioridades e próximos passos para que o usuário não precise reconstruí-los mentalmente a cada retorno."
MI-024,PROMISE,Promessa,Autonomia,IDEIA,Promessa Cognitiva,4,USUÁRIO,"Menos autonomia estrutural, mais consistência metodológica","O usuário não precisa decidir sozinho como decompor, sequenciar ou priorizar tudo; parte dessas decisões é assumida pelo sistema segundo critérios explícitos.",PRÁTICA CONSOLIDADA,Tailoring e metodologias estruturadas fornecem regras e práticas para organizar projetos; automação é implementação própria.,S04|S18,https://www.pmi.org/-/media/pmi/documents/public/pdf/pmbok-standards/pmi-tailoring.pdf?rev=10d5c35b229d458580524efc55efc056 | https://www.pmi.org/learning/library/tailoring-benefits-project-management-methodology-11133,Pode comunicar “o sistema assume parte da estruturação”.,"Garantir override, explicabilidade e possibilidade de correção pelo usuário.",ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P4 — IA com método,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Brand/produto/marketing,"O usuário não precisa decidir sozinho como decompor, sequenciar ou priorizar tudo; parte dessas decisões é assumida pelo sistema segundo critérios explícitos."
MI-025,AI,IA e Agentes,Função,IDEIA,Agentes Especialistas,1,USUÁRIO,Planejamento assistido por agentes,"Agentes especialistas podem decompor, organizar, priorizar e sequenciar trabalho automaticamente.",PRODUTO,,,,Pode ser descrito como capacidade funcional.,Evitar “confiável” como claim absoluto sem métricas e avaliação.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,MOFU — Consideração,P4 — IA com método,C1 — Capacidade de produto,BAIXO,VALIDAR FEATURE ANTES DE PUBLICAR,Brand/produto/marketing,"Agentes especialistas podem decompor, organizar, priorizar e sequenciar trabalho automaticamente."
MI-026,AI,IA e Agentes,Metodologia,IDEIA,Agentes Especialistas,2,USUÁRIO,"IA metodológica, não genérica","A IA deve aplicar uma metodologia explícita de gestão de projetos/processos e princípios cognitivos, em vez de apenas gerar listas plausíveis.",DIFERENCIAÇÃO,PMI fornece base metodológica para estrutura do trabalho; evidência cognitiva fornece princípios de interface/offloading.,S03|S05|S06|S14,https://www.pmi.org/es-es/brasil/sitecore/content/home/standards/pmbok | https://www.pmi.org/learning/library/practice-standard-work-breakdown-structures-8063 | https://pmc.ncbi.nlm.nih.gov/articles/PMC9971128/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC6099112/,Pode ser claim central de diferenciação.,Não afirmar que outras IAs “não têm nenhuma metodologia” sem benchmark documentado.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,MOFU — Consideração,P5 — Transparência e confiança,C0 — Posicionamento/linguagem,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Brand/produto/marketing,"A IA deve aplicar uma metodologia explícita de gestão de projetos/processos e princípios cognitivos, em vez de apenas gerar listas plausíveis."
MI-027,AI,IA e Agentes,Decomposição,IDEIA,Agentes Especialistas,3,USUÁRIO,Decomposição estruturada,"Agentes convertem objetivos e entregáveis em workflows, tarefas e ações rastreáveis.",PRÁTICA CONSOLIDADA,WBS sustenta decomposição hierárquica orientada a entregáveis.,S05,https://www.pmi.org/learning/library/practice-standard-work-breakdown-structures-8063,Pode comunicar alinhamento com decomposição estruturada.,WBS não prescreve a taxonomia específica ação/tarefa/ciclo/workflow do Executor.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,MOFU — Consideração,P4 — IA com método,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Brand/produto/marketing,"Agentes convertem objetivos e entregáveis em workflows, tarefas e ações rastreáveis."
MI-028,AI,IA e Agentes,Priorização,IDEIA,Agentes Especialistas,4,USUÁRIO,Priorização automatizada,O sistema propõe prioridades para reduzir decisões repetitivas do usuário.,EVIDÊNCIA INDIRETA,Choice overload e carga cognitiva sustentam reduzir decisões complexas; método de priorização precisa ter critérios próprios documentados.,S14|S15,https://pmc.ncbi.nlm.nih.gov/articles/PMC6099112/ | https://www.sciencedirect.com/science/article/pii/S1057740814000916,Pode comunicar como redução de decisões repetitivas.,Não dizer que a prioridade gerada por IA é sempre correta; permitir revisão e explicar critérios.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,MOFU — Consideração,P4 — IA com método,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Brand/produto/marketing,O sistema propõe prioridades para reduzir decisões repetitivas do usuário.
MI-029,AI,IA e Agentes,Diferenciação,IDEIA,Agentes Especialistas,5,USUÁRIO,Diferenciação contra IA genérica,A diferenciação está na combinação IA + gestão de projetos + gestão de processos + design cognitivo + neurodivergência + integração analógico-digital.,POSICIONAMENTO,,,,Pode ser usado como mapa de categoria.,Validar claims comparativos de concorrentes antes de publicidade comparativa.,ATIVO,P1 — Profissional neurodivergente multiprojeto,MOFU — Consideração,P4 — IA com método,C0 — Posicionamento/linguagem,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Brand/produto/marketing,A diferenciação está na combinação IA + gestão de projetos + gestão de processos + design cognitivo + neurodivergência + integração analógico-digital.
MI-030,ARCH,Arquitetura e Design,Modelo de informação,IDEIA,Arquitetura,1,USUÁRIO,Visualizar o trabalho como sistema,A interface prioriza mostrar o que deve ser feito e como cada elemento se relaciona ao sistema de execução.,EVIDÊNCIA INDIRETA,Externalização reduz dependência de memória interna; WBS sustenta representação hierárquica e explícita do trabalho.,S05|S06,https://www.pmi.org/learning/library/practice-standard-work-breakdown-structures-8063 | https://pmc.ncbi.nlm.nih.gov/articles/PMC9971128/,Pode comunicar como externalização e estrutura visual do trabalho.,A forma visual específica precisa de testes de usabilidade.,ATIVO,P2 — Knowledge worker sobrecarregado,ACT — Ativação/Produto,P4 — IA com método,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Produto/UX,A interface prioriza mostrar o que deve ser feito e como cada elemento se relaciona ao sistema de execução.
MI-031,ARCH,Arquitetura e Design,Taxonomia,IDEIA,Arquitetura,2,USUÁRIO,"Ação, tarefa, ciclo, workflow e projeto",O produto diferencia níveis de trabalho para que o usuário saiba o que está executando agora e a qual estrutura maior aquilo pertence.,PRÁTICA CONSOLIDADA,PMI sustenta decomposição hierárquica; a taxonomia concreta é metodologia proprietária.,S05,https://www.pmi.org/learning/library/practice-standard-work-breakdown-structures-8063,Pode tornar a taxonomia pública como parte da metodologia.,Definir formalmente cada termo e evitar sobreposição semântica.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,ACT — Ativação/Produto,P4 — IA com método,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Produto/UX,O produto diferencia níveis de trabalho para que o usuário saiba o que está executando agora e a qual estrutura maior aquilo pertence.
MI-032,ARCH,Arquitetura e Design,Entregáveis,IDEIA,Arquitetura,3,USUÁRIO,Visualização orientada a entregáveis,"Projetos são apresentados em relação ao resultado/entregável, não apenas como listas desconectadas de tarefas.",PRÁTICA CONSOLIDADA,WBS é orientada a entregáveis e descreve o “what” do escopo.,S05,https://www.pmi.org/learning/library/practice-standard-work-breakdown-structures-8063,Claim fortemente sustentado por prática PMI.,Não dizer que PMI exige a interface específica do Executor.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,ACT — Ativação/Produto,P2 — Próxima ação clara,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Produto/UX,"Projetos são apresentados em relação ao resultado/entregável, não apenas como listas desconectadas de tarefas."
MI-033,ARCH,Arquitetura e Design,Linguagem,IDEIA,Arquitetura,4,USUÁRIO,Verbos de ação,"Ações devem ser redigidas com verbo claro e comportamento observável, reduzindo ambiguidade sobre o próximo passo.",EVIDÊNCIA INDIRETA,Implementation intentions favorecem especificação concreta do comportamento; atividades podem ser expressas como ações.,S12|S05,https://www.sciencedirect.com/science/article/abs/pii/S0065260106380021 | https://www.pmi.org/learning/library/practice-standard-work-breakdown-structures-8063,Pode comunicar como padrão editorial orientado à ação.,Não tratar o verbo isolado como intervenção cientificamente comprovada.,ATIVO,P2 — Knowledge worker sobrecarregado,ACT — Ativação/Produto,P2 — Próxima ação clara,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Produto/UX,"Ações devem ser redigidas com verbo claro e comportamento observável, reduzindo ambiguidade sobre o próximo passo."
MI-034,ARCH,Arquitetura e Design,Primeiros passos,IDEIA,Arquitetura,5,USUÁRIO,1–2–3: três primeiros passos,A interface destaca os três primeiros passos para guiar o início sem expor todo o projeto de uma vez.,HIPÓTESE A VALIDAR,"Há suporte indireto para segmentação, redução de carga e próximas ações, mas não para o número exato “3”.",S12|S14,https://www.sciencedirect.com/science/article/abs/pii/S0065260106380021 | https://pmc.ncbi.nlm.nih.gov/articles/PMC6099112/,Pode ser apresentado como regra da metodologia própria.,Não rotular “três passos” como cientificamente comprovado; testar empiricamente.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,ACT — Ativação/Produto,P2 — Próxima ação clara,H — Hipótese de produto,ALTO — não usar como promessa,BLOQUEADO COMO CLAIM — testar,Produto/UX,A interface destaca os três primeiros passos para guiar o início sem expor todo o projeto de uma vez.
