queue_id,classification_id,source_path,intake_path,candidate_domain,candidate_canonical_id,candidate_target,distribution_status,precondition,next_step
"MQ-REC-015","MC-REC-015","01-master-index/04-reports/MASTER_INDEX_TABULAR_V1.csv","00_input/maestro-migration/01_original/01-master-index/04-reports/MASTER_INDEX_TABULAR_V1.csv","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-016","MC-REC-016","01-master-index/04-reports/MIGRATION_2026-08-26.md","00_input/maestro-migration/01_original/01-master-index/04-reports/MIGRATION_2026-08-26.md","REGISTRY","GOV-IDX-030-001","99_archive/migration-history/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-017","MC-REC-017","01-master-index/04-reports/README.md","00_input/maestro-migration/01_original/01-master-index/04-reports/README.md","REGISTRY","GOV-IDX-030-001","01_master-index/reports/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-018","MC-REC-018","01-master-index/CENTRAL_CONTROL.csv","00_input/maestro-migration/01_original/01-master-index/CENTRAL_CONTROL.csv","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-019","MC-REC-019","60-dados/40-canonical/REGISTRO_DOCUMENTAL_MECE_V1.csv","00_input/maestro-migration/01_original/60-dados/40-canonical/REGISTRO_DOCUMENTAL_MECE_V1.csv","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-020","MC-REC-020","60-dados/40-canonical/STRATEGIC_INSIGHTS_V1.csv","00_input/maestro-migration/01_original/60-dados/40-canonical/STRATEGIC_INSIGHTS_V1.csv","MULTI_DOMAIN","GAP","04_evidence/strategic-insights/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-021","MC-REC-021","60-dados/60-dados.md","00_input/maestro-migration/01_original/60-dados/60-dados.md","D05","D05-DOC-EPGD-001","02_areas/D05__dados/00_documentos/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-022","MC-REC-022","60-dados/60-exports/ESTADO_CONSOLIDADO_ECOSSISTEMA_EXECUTAR.yaml","00_input/maestro-migration/01_original/60-dados/60-exports/ESTADO_CONSOLIDADO_ECOSSISTEMA_EXECUTAR.yaml","MULTI_DOMAIN","GAP","04_evidence/consolidated-state/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-023","MC-REC-023","60-dados/60-exports/README.md","00_input/maestro-migration/01_original/60-dados/60-exports/README.md","D05","D05-DOC-EPGD-001","02_areas/D05__dados/00_documentos/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-024","MC-REC-024","60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.json","00_input/maestro-migration/01_original/60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.json","MULTI_DOMAIN","GAP","04_evidence/workbooks/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-025","MC-REC-025","60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.yaml","00_input/maestro-migration/01_original/60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.yaml","MULTI_DOMAIN","GAP","04_evidence/workbooks/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-026","MC-REC-026","60-dados/60-exports/WORKBOOK_FORMULARIO.csv","00_input/maestro-migration/01_original/60-dados/60-exports/WORKBOOK_FORMULARIO.csv","MULTI_DOMAIN","GAP","04_evidence/workbooks/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-027","MC-REC-027","60-dados/60-exports/WORKBOOK_PMBOK8_ECOSSISTEMA_EXECUTAR.xlsx","00_input/maestro-migration/01_original/60-dados/60-exports/WORKBOOK_PMBOK8_ECOSSISTEMA_EXECUTAR.xlsx","MULTI_DOMAIN","GAP","04_evidence/workbooks/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-028","MC-REC-028","60-dados/90-evidence/OUT-54_EVIDENCE_REGISTER.csv","00_input/maestro-migration/01_original/60-dados/90-evidence/OUT-54_EVIDENCE_REGISTER.csv","D09","D09-DOC-DEB-001","04_evidence/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-029","MC-REC-029","60-dados/90-evidence/OUT-55_HYPOTHESIS_REGISTER.csv","00_input/maestro-migration/01_original/60-dados/90-evidence/OUT-55_HYPOTHESIS_REGISTER.csv","D09","D09-DOC-DEB-001","04_evidence/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-030","MC-REC-030","60-dados/90-evidence/OUT-56_DECISION_LOG.csv","00_input/maestro-migration/01_original/60-dados/90-evidence/OUT-56_DECISION_LOG.csv","REGISTRY","GOV-IDX-030-001","05_decisions/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-031","MC-REC-031","60-dados/90-evidence/OUT-57_RISK_REGISTER.csv","00_input/maestro-migration/01_original/60-dados/90-evidence/OUT-57_RISK_REGISTER.csv","D02","D02-DOC-MRC-001","06_risks/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-032","MC-REC-032","60-dados/90-evidence/OUT-58_GAP_REGISTER.csv","00_input/maestro-migration/01_original/60-dados/90-evidence/OUT-58_GAP_REGISTER.csv","REGISTRY","GOV-IDX-030-001","01_master-index/gaps/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-033","MC-REC-033","60-dados/90-evidence/OUT-59_SOURCE_REGISTER.csv","00_input/maestro-migration/01_original/60-dados/90-evidence/OUT-59_SOURCE_REGISTER.csv","D09","D09-DOC-DEB-001","04_evidence/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-034","MC-REC-034","70-operacao-governanca/01-planos-acao/PLANO_LANCAMENTO_ECOSSISTEMA.md","00_input/maestro-migration/01_original/70-operacao-governanca/01-planos-acao/PLANO_LANCAMENTO_ECOSSISTEMA.md","D13","D13-DOC-GTM-001","02_areas/D13__mercado-e-geracao-de-demanda/00_documentos/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-035","MC-REC-035","70-operacao-governanca/02-workflows/PMBOK8_FUNDAMENTOS_ORDEM_MENTAL.md","00_input/maestro-migration/01_original/70-operacao-governanca/02-workflows/PMBOK8_FUNDAMENTOS_ORDEM_MENTAL.md","MAESTRO","GAP","MAESTRO/40-workflows/","REQUIRES_MAESTRO_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Reconciliar com o registro de workflows do Maestro; não distribuir a Governance."
"MQ-REC-036","MC-REC-036","70-operacao-governanca/70-operacao-governanca.md","00_input/maestro-migration/01_original/70-operacao-governanca/70-operacao-governanca.md","D08","D08-DOC-MOP-001","02_areas/D08__operacoes/00_documentos/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
